Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
242220,обл,Брянская,р-н,Трубчевский,г,Трубчевск,,,3202600100000,7c080d22-1f3c-43b0-ba63-1e7de99724c9,4: город,1,15256501000,15656101001,3252,UTC92,52.5791314,33.7660013,Центральный,15014
243300,обл,Брянская,р-н,Унечский,г,Унеча,,,3202700100000,6a2d5db9-1871-4f1d-b226-bbc6b8400a44,4: город,1,15258501000,15658101001,3253,UTC93,52.8460665,32.6757071,Центральный,26196
242610,обл,Брянская,,,г,Фокино,,,3200000500000,8d7c89e7-d9b9-4d7a-907c-a654b3a4d23d,4: город,0,15216504000,15710000001,3245,UTC94,53.4554552,34.4158537,Центральный,13874
671230,Респ,Бурятия,р-н,Кабанский,г,Бабушкин,,,0300900200000,519731a7-aace-435a-9a1c-1d0051ab7913,4: город,0,81224503000,81624103,0309,UTC100,51.7113066,105.8673633,Сибирский,4542
671160,Респ,Бурятия,р-н,Селенгинский,г,Гусиноозерск,,,0301800100000,30e1ab6c-4ee2-45ce-934a-c3435a015c29,4: город,1,81248501000,81648101,0300,UTC101,51.2865751,106.5230732,Сибирский,23280
671950,Респ,Бурятия,р-н,Закаменский,г,Закаменск,,,0300700100000,0602f259-5de5-48e0-8a2c-427a5e0aef82,4: город,1,81221501000,81621101001,0300,UTC102,50.3726774,103.2867452,Сибирский,11249
671840,Респ,Бурятия,р-н,Кяхтинский,г,Кяхта,,,0301200100000,5ef858d8-f7e6-4ea9-8276-53a25672bf9f,4: город,1,81233501000,81633101,0309,UTC103,50.3466291,106.4534938,Сибирский,20013
671700,Респ,Бурятия,,,г,Северобайкальск,,,0300000200000,c4ea4370-0720-40a3-9df6-dd8ccf354d15,4: город,0,81420000000,81720000,0300,UTC104,55.6357165,109.3362606,Сибирский,23673
670000,Респ,Бурятия,,,г,Улан-Удэ,,,0300000100000,9fdcc25f-a3d0-4f28-8b61-40648d099065,4: город,2,81401000000,81701000001,0300,UTC105,51.8334378,107.5841511,Сибирский,431922
601650,обл,Владимирская,р-н,Александровский,г,Александров,,,3300200100000,59e55956-69a2-432f-b880-74cf8ec0b9fe,4: город,1,17205501000,17605101001,3339,UTC101,56.3919652,38.711035,Центральный,61544
600000,обл,Владимирская,,,г,Владимир,,,3300000100000,f66a00e6-179e-4de9-8ecb-78b0277c9f10,4: город,2,17401000000,17701000001,3300,UTC102,56.1281561,40.4082995,Центральный,348256
601440,обл,Владимирская,р-н,Вязниковский,г,Вязники,,,3300300100000,0114e0c6-4060-4473-bc44-779e5a85e9dd,4: город,1,17210501000,17610101001,3332,UTC103,56.2976528,42.2687311,Центральный,41252
601480,обл,Владимирская,р-н,Гороховецкий,г,Гороховец,,,3300400100000,e3bc9262-6bcf-42f8-a0bd-a8a00def58bc,4: город,1,17215501000,17615101001,3332,UTC104,56.2021059,42.692517,Центральный,14015
601500,обл,Владимирская,,,г,Гусь-Хрустальный,,,3300000300000,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,4: город,0,17420000000,17720000001,3304,UTC105,55.6198065,40.6578769,Центральный,60773
601300,обл,Владимирская,р-н,Камешковский,г,Камешково,,,3300600100000,13cf312e-735f-4faa-8a7d-9a2622d50438,4: город,1,17225501000,17625101001,3340,UTC106,56.3488712,40.9955682,Центральный,13113
